material,carbon_score,recyclable,cost_level,durability,biodegradable,material_type
bamboo,10,yes,low,medium,yes,structural
hemp,15,yes,low,medium,yes,textile
jute,18,yes,low,medium,yes,textile
cardboard,22,yes,low,low,yes,rigid
recycled_plastic,40,yes,low,medium,no,rigid
plastic,80,no,low,low,no,rigid
wood,20,yes,medium,high,yes,structural
glass,25,yes,medium,high,no,rigid
aluminum,35,yes,medium,high,no,rigid
steel,30,yes,medium,high,no,structural
cork_board,12,yes,medium,medium,yes,structural
ceramic,28,no,medium,high,no,rigid
rubber,26,yes,medium,medium,yes,textile
titanium,40,yes,high,high,no,structural
carbon_fiber,45,no,high,high,no,structural
bioplastic,25,yes,high,medium,yes,rigid
rice_husk_board,12,yes,low,medium,yes,structural
fly_ash_cement,18,yes,medium,high,no,structural
ferrocement,25,yes,medium,high,no,structural
compressed_straw_panel,10,yes,low,medium,yes,structural
rammed_earth,8,no,low,high,yes,structural
hempcrete,9,yes,medium,medium,yes,structural
bamboo_laminate,14,yes,medium,high,yes,structural
organic_cotton,20,yes,medium,medium,yes,textile
recycled_cotton,18,yes,low,medium,yes,textile
linen,16,yes,medium,medium,yes,textile
bamboo_fiber,15,yes,medium,medium,yes,textile
silk,22,yes,high,medium,yes,textile
rice_husk_bioplastic,18,yes,medium,medium,yes,rigid
bagasse_board,14,yes,low,medium,yes,rigid
mycelium_composite,10,yes,medium,medium,yes,rigid
copper,45,yes,high,high,no,structural
iron,50,yes,medium,high,no,structural
fabric,30,no,medium,medium,yes,textile
leather,60,no,high,high,no,textile
paper,15,yes,low,low,yes,rigid
recycled_glass,20,yes,medium,high,no,rigid
recycled_steel,22,yes,medium,high,no,structural
cork_fabric,14,yes,medium,medium,yes,textile
